ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
37-1,22/03/23 14:44:23,https://twitter.com/RocafortElmer52/status/1540216991067574272,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa revolution,@RocafortElmer52,TropangPinoy(c),John 3:16,"Identified
",05/22,1197,1018,Philippines,edsa is fake.,,"Text, Reply",24/06/22 14:15,,Rational,1,0,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",Tweet is part of a thread,,,,,
37-2,22/03/23 15:00:32,https://twitter.com/emotero_u/status/835513170517078016,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa revolution is fake,@emotero_u,just saying,im simple and happy to be with. its better to have a few real friends than to have a lot of fake ones,Anonymous,03/10,113,154,Philippines,So true ... kaya edsa revolution is fake down to its roots,,"Text, quote tweet",25/02/17 23:33,,Emotional,0,0,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-3,22/03/23 15:01:26,https://twitter.com/i_am_robin719/status/1527870646222716931,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa revolution is fake,@i_am_robin719,• 🅁U⃒T͟հℒⓔꜱs̾ • ✌️❤️💚👊,• Pro-Filipino • Anti-Yellowshit •,Anonymous,10/21,272,403,National Capital Region,"We had it good back then. I was a living witness to the golden era of PH under FEM. What ruined it was the fake revolution called EDSA, and this vengeful widow of a traitor. Ninoy, Cory, and Noynoy are scums! Never again to yellowshit!",,Text,21/05/22 12:35,,Emotional,10,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-4,22/03/23 15:02:39,https://twitter.com/match80s/status/967715730211745792,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa is fake,@match80s,Match80s,N/A,Anonymous,01/11,312,100,Philippines,"Yup, Edsa People Power is fake news. No one believes in it anymore.",,"Text, Reply",25/02/18 18:59,,Emotional,9,0,1,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-5,22/03/23 15:02:56,https://twitter.com/vlabvs21/status/1561427059473141760,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake,@vlabvs21,Kimpoy Palaboy ❤️💚✌️👊,Small business owner and boat enthusiast.,Anonymous,05/17,237,58,Philippines,And Ninoy is the country's traitor is real. EDSA Fake revolutiion is a big fraud of the country. #NinoyIsNotAHero #NinoyIsATraitor #NeverAgainToLP #LPEdsaIsABigScam,,"Text, Reply",22/08/22 2:56,,Emotional,1,0,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-6,22/03/23 15:03:47,https://twitter.com/KMfernandez12/status/1508046028016349188,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa is fake,@KMfernandez12,KM🇵🇭,Extrovert 😅,Anonymous,04/17,1182,477,"Davao City, Philippines","Bruh, EDSA is just a fake revolution. WTF are talking about? Gising na po ang taong bayan",,"Text, Reply",27/03/22 19:39,,Emotional,1,3,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-7,22/03/23 15:04:22,https://twitter.com/maurgaux91/status/1550698595971543040,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake,@maurgaux91,Margaux Tamerlane 🇵🇭,Anti-Commies Anti-Terrorism  Anti-Pink Propaganda  Anti-PIGSA!  #PRRDsupporter  #NTFELCACsupporter,Anonymous,11/21,259,252,"Taguig City, National Capital",EDSA is a fake revolt!,,"Text, quote tweet",23/07/22 12:25,,Emotional,2,0,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-8,22/03/23 15:04:58,https://twitter.com/dengist_trillo/status/1437664467379122176,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa is fake,@dengist_trillo,Kai #NoToJeepneyPhaseout,"Космонавт, СССР. Поехали!",Anonymous,10/18,224,384,N/A,"EDSA is also a fake ""revolution"" because the Marcoses immediately ran for elections in 1992, six years after their departure. So much for restoration of democracy lol",,"Text, quote tweet",14/09/21 14:28,,Rational,1,0,0,0,,,"Although Martial Law has been officially proclaimed to have ended in 1981, former president Ferdinand Marcos still ruled with an iron fist. The EDSA revolution started after Marcos’ mass cheating in the snap election with former president Cory Aquino.",,,,,,
37-9,30/03/23 17:00:28,https://twitter.com/penkru18/status/1232122684529446912,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution poverty,@penkru18,เลยา 🇵🇭✌👊,🟢⚪🔴,Anonymous,05/18,148,179,N/A,Edsa revolution did nothing to improve the lives of the filipinos. It pushed us to poverty and was put under the hands of oligarchs. What's the sense of celebrating it? I hope it will be taken out as a national thing and be removed from the textbooks as well.,,"Text, Reply",25/02/20 9:58,,Emotional,0,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-10,30/03/23 16:56:31,https://twitter.com/renarce/status/1494888185519742979,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution poverty,@renarce,Renie T. Arce,Employed Professional,Identified,07/10,29,23,Muntinlupa City,EDSA Revolution had placed our country into the quagmire of poverty. Majority of the Filipinos have already realized that.,,"Text, Reply",19/02/22 12:14,,Emotional,0,0,0,0,,,It was not only after the EDSA revolution did the Filipino people experienced poverty. Incidence of poverty was already present during the Adminsitration of President Marcos.,,,,,,
